#{"t_start": 1713419021.8955479, "env_id": "None"}
r,l,t
279.76594,2737,949.618103
279.76594,2737,950.713341
279.76594,2737,951.79511
94.977196,2737,953.456268
94.977196,2737,954.410961
94.977196,2737,955.342377
94.977196,2737,956.280946
94.977196,2737,957.220636
276.871653,2737,958.801975
276.871653,2737,959.867207
276.871653,2737,960.928918
276.871653,2737,962.17163
276.871653,2737,963.342644
260.775808,2737,964.911059
260.775808,2737,965.872504
260.775808,2737,966.846942
260.775808,2737,967.827364
260.775808,2737,968.77642
94.977196,2737,970.519098
94.977196,2737,971.619347
94.977196,2737,972.711746
94.977196,2737,973.797036
94.977196,2737,974.737386
44.401493,2737,976.227091
44.401493,2737,977.328441
44.401493,2737,978.252025
44.401493,2737,979.180518
44.401493,2737,980.262119
276.912947,2737,981.994752
276.912947,2737,983.073315
276.912947,2737,984.182123
276.912947,2737,985.197183
276.912947,2737,986.149906
95.388626,2737,987.759458
95.388626,2737,988.722194
95.388626,2737,989.730255
95.388626,2737,990.787667
95.388626,2737,991.941184
42.870064,2737,993.811152
42.870064,2737,994.883446
42.870064,2737,995.824717
42.870064,2737,996.765793
42.870064,2737,997.839564
265.104509,2737,999.485469
265.104509,2737,1000.489245
265.104509,2737,1001.441764
265.104509,2737,1002.567981
265.104509,2737,1003.779122
278.195799,2737,1005.563653
278.195799,2737,1006.69247
278.195799,2737,1008.168322
278.195799,2737,1009.342093
278.195799,2737,1010.279665
269.880236,2737,1011.638589
269.880236,2737,1012.637956
269.880236,2737,1013.676174
269.880236,2737,1014.913581
269.880236,2737,1015.8183
252.148678,2737,1017.728091
252.148678,2737,1018.998787
252.148678,2737,1020.097001
252.148678,2737,1021.118973
252.148678,2737,1022.312034
96.685768,2737,1023.906514
96.685768,2737,1024.91608
96.685768,2737,1025.904628
96.685768,2737,1026.961636
96.685768,2737,1028.00062
70.490059,2737,1029.71323
70.490059,2737,1030.721148
70.490059,2737,1031.723587
70.490059,2737,1032.71314
70.490059,2737,1033.695242
96.611481,2737,1035.245661
96.611481,2737,1036.225441
96.611481,2737,1037.366017
96.611481,2737,1038.348036
96.611481,2737,1039.428879
279.535795,2737,1040.968856
279.535795,2737,1041.886028
279.535795,2737,1042.954998
279.535795,2737,1043.952217
279.535795,2737,1044.928043
281.651669,2737,1046.405354
281.651669,2737,1047.338726
281.651669,2737,1048.274241
281.651669,2737,1049.310007
281.651669,2737,1050.487964
96.611481,2737,1052.120698
96.611481,2737,1053.027677
96.611481,2737,1053.980351
96.611481,2737,1054.87306
96.611481,2737,1055.752672
243.331427,2737,1057.159552
243.331427,2737,1058.055313
243.331427,2737,1058.958542
243.331427,2737,1059.839776
243.331427,2737,1060.717946
252.425817,2737,1062.122662
252.425817,2737,1063.066463
252.425817,2737,1063.987567
252.425817,2737,1064.868329
252.425817,2737,1065.743327
251.215818,2737,1067.287766
251.215818,2737,1068.215224
251.215818,2737,1069.094979
251.215818,2737,1069.974198
251.215818,2737,1070.841537
97.105762,2737,1072.264354
97.105762,2737,1073.202627
97.105762,2737,1074.115813
97.105762,2737,1075.057412
97.105762,2737,1075.948149
278.471649,2737,1077.387944
278.471649,2737,1078.292477
278.471649,2737,1079.236961
278.471649,2737,1080.129267
278.471649,2737,1081.017965
94.977196,2737,1082.553274
94.977196,2737,1083.426205
94.977196,2737,1084.295085
94.977196,2737,1085.16405
94.977196,2737,1086.025488
238.658579,2737,1087.402832
238.658579,2737,1088.264515
238.658579,2737,1089.129247
238.658579,2737,1089.991334
238.658579,2737,1090.8513
260.940088,2737,1092.243273
260.940088,2737,1093.113173
260.940088,2737,1093.978833
260.940088,2737,1094.843631
260.940088,2737,1095.707189
253.750086,2737,1097.248269
253.750086,2737,1098.1418
253.750086,2737,1099.031807
253.750086,2737,1099.917272
253.750086,2737,1100.803223
280.238791,2737,1102.141518
280.238791,2737,1103.008771
280.238791,2737,1103.876016
280.238791,2737,1104.74902
280.238791,2737,1105.618491
277.442938,2737,1107.014367
277.442938,2737,1107.933597
277.442938,2737,1108.804006
277.442938,2737,1109.66914
277.442938,2737,1110.529582
261.352945,2737,1112.061696
261.352945,2737,1113.157163
261.352945,2737,1114.170011
261.352945,2737,1115.188892
261.352945,2737,1116.193393
287.154533,2737,1117.822216
287.154533,2737,1118.741722
287.154533,2737,1119.665696
287.154533,2737,1120.580946
287.154533,2737,1121.513659
283.021511,2737,1122.993994
283.021511,2737,1123.914881
283.021511,2737,1124.881636
283.021511,2737,1125.787269
283.021511,2737,1126.766171
275.037392,2737,1128.498073
275.037392,2737,1129.38735
275.037392,2737,1130.302003
275.037392,2737,1131.291454
275.037392,2737,1132.254025
96.424335,2737,1133.945321
96.424335,2737,1135.027968
96.424335,2737,1136.149543
96.424335,2737,1137.224846
96.424335,2737,1138.306382
96.330051,2737,1140.025812
96.330051,2737,1141.035707
96.330051,2737,1142.256326
96.330051,2737,1143.227138
96.330051,2737,1144.357753
281.391685,2737,1146.099475
281.391685,2737,1147.185842
281.391685,2737,1148.285272
281.391685,2737,1149.370655
281.391685,2737,1150.428725
57.052952,2737,1151.96169
57.052952,2737,1152.870842
57.052952,2737,1153.792744
57.052952,2737,1154.696923
57.052952,2737,1155.668945
288.99453,2737,1157.30764
288.99453,2737,1158.257788
288.99453,2737,1159.245584
288.99453,2737,1160.168126
288.99453,2737,1161.055922
282.855942,2737,1162.546561
282.855942,2737,1163.456004
282.855942,2737,1164.376936
282.855942,2737,1165.260285
282.855942,2737,1166.199703
