#{"t_start": 1713166468.71797, "env_id": "None"}
r,l,t
7.245066,2757,1507.656591
7.245066,2757,1509.330992
8.878155,2757,1511.834309
8.878155,2757,1513.441179
8.878155,2757,1515.014175
8.878155,2757,1516.585001
8.878155,2757,1518.151114
11.572588,2757,1520.597039
11.572588,2757,1522.183861
11.572588,2757,1523.761352
11.572588,2757,1525.415324
11.572588,2757,1527.035802
4.230661,2757,1529.464186
4.230661,2757,1530.975876
4.230661,2757,1532.501342
4.230661,2757,1534.009632
4.230661,2757,1535.532973
3.597792,2757,1538.008322
3.597792,2757,1539.712682
3.597792,2757,1541.383624
3.597792,2757,1542.988375
3.597792,2757,1544.513925
5.235708,2757,1546.870335
5.235708,2757,1548.361535
5.235708,2757,1549.863768
5.235708,2757,1551.35078
5.235708,2757,1552.848692
4.038042,2757,1555.215333
4.038042,2757,1556.721298
4.038042,2757,1558.230891
4.038042,2757,1559.738625
4.038042,2757,1561.218016
5.791153,2757,1563.662522
5.791153,2757,1565.19588
5.791153,2757,1566.695796
5.791153,2757,1568.204221
5.791153,2757,1569.698237
13.774602,2757,1572.366374
13.774602,2757,1573.91251
13.774602,2757,1575.436623
13.774602,2757,1576.993314
13.774602,2757,1578.510965
6.336551,2757,1580.937017
6.336551,2757,1582.497762
6.336551,2757,1584.058599
6.336551,2757,1585.595174
6.336551,2757,1587.134654
5.611155,2757,1589.590877
5.611155,2757,1591.152963
5.611155,2757,1592.721771
5.611155,2757,1594.311029
5.611155,2757,1595.94972
11.184179,2757,1598.501388
11.184179,2757,1600.050101
11.184179,2757,1601.591964
11.184179,2757,1603.303101
11.184179,2757,1604.914073
11.001066,2757,1607.361865
11.001066,2757,1608.949439
11.001066,2757,1610.524592
11.001066,2757,1612.341567
11.001066,2757,1614.192783
11.280233,2757,1618.249054
11.280233,2757,1620.102336
11.280233,2757,1621.798271
11.280233,2757,1623.867503
11.280233,2757,1625.619934
7.421589,2757,1629.102739
7.421589,2757,1630.905343
7.421589,2757,1632.51107
7.421589,2757,1634.107348
7.421589,2757,1635.708148
7.586321,2757,1638.585823
7.586321,2757,1640.453071
7.586321,2757,1642.327916
7.586321,2757,1644.605845
7.586321,2757,1646.653896
7.44871,2757,1649.74961
7.44871,2757,1651.600239
7.44871,2757,1653.321799
7.44871,2757,1654.975497
7.44871,2757,1656.958399
8.439931,2757,1660.441021
8.439931,2757,1662.136687
8.439931,2757,1664.246901
8.439931,2757,1666.366174
8.439931,2757,1668.5407
7.321253,2757,1671.40784
7.321253,2757,1673.295386
7.321253,2757,1674.922057
7.321253,2757,1676.616777
7.321253,2757,1678.51789
6.723659,2757,1681.921343
6.723659,2757,1684.45166
6.723659,2757,1686.368631
6.723659,2757,1688.293833
6.723659,2757,1689.955346
-1.427206,2757,1692.893536
-1.427206,2757,1694.505778
-1.427206,2757,1696.244632
-1.427206,2757,1697.799462
-1.427206,2757,1699.359022
-4.072376,2757,1701.781436
-4.072376,2757,1703.338677
-4.072376,2757,1704.845414
-4.072376,2757,1706.372598
-4.072376,2757,1707.937508
-3.309876,2757,1710.380418
-3.309876,2757,1711.937889
-3.309876,2757,1713.486975
-3.309876,2757,1715.023984
-3.309876,2757,1716.581066
-0.786061,2757,1719.342833
-0.786061,2757,1721.127429
-0.786061,2757,1722.95705
-0.786061,2757,1725.178962
-0.786061,2757,1727.184269
6.196527,2757,1730.098063
6.196527,2757,1731.981142
6.196527,2757,1733.912431
6.196527,2757,1735.869015
6.196527,2757,1737.719775
4.834459,2757,1741.090216
4.834459,2757,1742.798704
4.834459,2757,1744.521396
4.834459,2757,1746.117727
4.834459,2757,1747.700685
5.311581,2757,1750.173517
5.311581,2757,1751.819437
5.311581,2757,1753.388611
5.311581,2757,1754.914898
5.311581,2757,1756.461583
8.519651,2757,1758.952937
8.519651,2757,1760.553135
8.519651,2757,1762.173289
8.519651,2757,1763.783475
8.519651,2757,1765.389586
5.464663,2757,1767.877151
5.464663,2757,1769.544957
5.464663,2757,1771.250762
5.464663,2757,1772.824107
5.464663,2757,1774.36205
7.967438,2757,1776.933916
7.967438,2757,1778.55729
7.967438,2757,1780.143641
7.967438,2757,1781.68451
7.967438,2757,1783.251021
5.198714,2757,1785.726706
5.198714,2757,1787.463116
5.198714,2757,1789.253988
5.198714,2757,1790.801066
5.198714,2757,1792.368066
4.436203,2757,1794.8979
4.436203,2757,1796.503565
4.436203,2757,1798.106854
4.436203,2757,1799.751342
4.436203,2757,1801.473477
5.260938,2757,1803.993555
5.260938,2757,1805.544657
5.260938,2757,1807.114683
5.260938,2757,1808.734619
5.260938,2757,1810.305418
5.336999,2757,1812.793887
5.336999,2757,1814.350949
5.336999,2757,1815.94525
5.336999,2757,1817.48442
5.336999,2757,1819.044289
5.051303,2757,1821.509812
5.051303,2757,1823.024448
5.051303,2757,1824.544531
5.051303,2757,1826.082662
5.051303,2757,1827.628205
6.492681,2757,1830.063754
6.492681,2757,1831.619313
6.492681,2757,1833.413461
6.492681,2757,1835.026172
6.492681,2757,1836.569257
6.607487,2757,1839.049151
6.607487,2757,1840.588624
6.607487,2757,1842.140785
6.607487,2757,1843.722993
6.607487,2757,1845.284189
7.057232,2757,1847.795475
7.057232,2757,1849.39586
7.057232,2757,1851.016287
7.057232,2757,1852.586299
7.057232,2757,1854.180174
6.969677,2757,1856.603199
6.969677,2757,1858.159634
6.969677,2757,1859.736803
6.969677,2757,1861.283023
6.969677,2757,1862.82942
6.872992,2757,1865.523107
6.872992,2757,1867.156103
6.872992,2757,1868.749639
6.872992,2757,1870.39524
6.872992,2757,1871.999675
6.568002,2757,1874.488431
6.568002,2757,1876.073071
6.568002,2757,1877.589369
6.568002,2757,1879.139247
6.568002,2757,1880.693713
7.485582,2757,1883.258724
7.485582,2757,1884.89031
7.485582,2757,1886.525023
7.485582,2757,1888.160028
7.485582,2757,1889.773434
9.70834,2757,1892.292302
9.70834,2757,1893.911618
9.70834,2757,1895.579956
9.70834,2757,1897.315448
9.70834,2757,1898.919844
7.10857,2757,1901.540075
7.10857,2757,1903.306241
7.10857,2757,1904.83252
7.10857,2757,1906.394451
7.10857,2757,1907.927292
6.902241,2757,1910.400487
6.902241,2757,1911.921638
6.902241,2757,1913.464031
6.902241,2757,1915.060041
6.902241,2757,1916.605501
7.259813,2757,1919.065749
7.259813,2757,1920.605602
7.259813,2757,1922.117374
7.259813,2757,1923.66475
